Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-03-14,8237.1201171875,8237.1201171875,8237.1201171875,8237.1201171875,0,0,0
2022-03-15,8232.33984375,8232.33984375,8232.33984375,8232.33984375,0,0,0
2022-03-16,8348.66015625,8348.66015625,8348.66015625,8348.66015625,0,0,0
2022-03-17,8479.7900390625,8479.7900390625,8479.7900390625,8479.7900390625,0,0,0
2022-03-18,8513.5703125,8513.5703125,8513.5703125,8513.5703125,0,0,0
2022-03-21,8541.1396484375,8541.1396484375,8541.1396484375,8541.1396484375,0,0,0
2022-03-22,8577.23046875,8577.23046875,8577.23046875,8577.23046875,0,0,0
2022-03-23,8558.23046875,8558.23046875,8558.23046875,8558.23046875,0,0,0
2022-03-24,8600.08984375,8600.08984375,8600.08984375,8600.08984375,0,0,0
2022-03-25,8635.6796875,8635.6796875,8635.6796875,8635.6796875,0,0,0
2022-03-28,8608.9501953125,8608.9501953125,8608.9501953125,8608.9501953125,0,0,0
2022-03-29,8692.740234375,8692.740234375,8692.740234375,8692.740234375,0,0,0
2022-03-30,8684.5,8684.5,8684.5,8684.5,0,0,0
2022-03-31,8587.8701171875,8587.8701171875,8587.8701171875,8587.8701171875,0,0,0
2022-04-01,8591.349609375,8591.349609375,8591.349609375,8591.349609375,0,0,0
2022-04-04,8620.76953125,8620.76953125,8620.76953125,8620.76953125,0,0,0
2022-04-05,8552.2900390625,8552.2900390625,8552.2900390625,8552.2900390625,0,0,0
2022-04-06,8487.4697265625,8487.4697265625,8487.4697265625,8487.4697265625,0,0,0
2022-04-07,8490.16015625,8490.16015625,8490.16015625,8490.16015625,0,0,0
2022-04-08,8542.4501953125,8542.4501953125,8542.4501953125,8542.4501953125,0,0,0
2022-04-11,8488.0595703125,8488.0595703125,8488.0595703125,8488.0595703125,0,0,0
2022-04-12,8471.7001953125,8471.7001953125,8471.7001953125,8471.7001953125,0,0,0
2022-04-13,8514.580078125,8514.580078125,8514.580078125,8514.580078125,0,0,0
2022-04-14,8509.8798828125,8509.8798828125,8509.8798828125,8509.8798828125,0,0,0
2022-04-19,8484.25,8484.25,8484.25,8484.25,0,0,0
2022-04-20,8534.9697265625,8534.9697265625,8534.9697265625,8534.9697265625,0,0,0
2022-04-21,8446.8701171875,8446.8701171875,8446.8701171875,8446.8701171875,0,0,0
2022-04-22,8262.599609375,8262.599609375,8262.599609375,8262.599609375,0,0,0
2022-04-25,8187.419921875,8187.419921875,8187.419921875,8187.419921875,0,0,0
2022-04-26,8098.60009765625,8098.60009765625,8098.60009765625,8098.60009765625,0,0,0
2022-04-27,8057.89990234375,8057.89990234375,8057.89990234375,8057.89990234375,0,0,0
2022-04-28,8164.06005859375,8164.06005859375,8164.06005859375,8164.06005859375,0,0,0
2022-04-29,8083.27001953125,8083.27001953125,8083.27001953125,8083.27001953125,0,0,0
2022-05-02,8058.669921875,8058.669921875,8058.669921875,8058.669921875,0,0,0
2022-05-03,8098.4501953125,8098.4501953125,8098.4501953125,8098.4501953125,0,0,0
2022-05-04,8202.98046875,8202.98046875,8202.98046875,8202.98046875,0,0,0
2022-05-05,8080.8798828125,8080.8798828125,8080.8798828125,8080.8798828125,0,0,0
2022-05-06,8047.16015625,8047.16015625,8047.16015625,8047.16015625,0,0,0
2022-05-10,7842.77978515625,7842.77978515625,7842.77978515625,7842.77978515625,0,0,0
2022-05-11,7825.14013671875,7825.14013671875,7825.14013671875,7825.14013671875,0,0,0
2022-05-12,7796.56982421875,7796.56982421875,7796.56982421875,7796.56982421875,0,0,0
2022-05-13,7874.39990234375,7874.39990234375,7874.39990234375,7874.39990234375,0,0,0
2022-05-16,7895.68994140625,7895.68994140625,7895.68994140625,7895.68994140625,0,0,0
2022-05-17,8015.77978515625,8015.77978515625,8015.77978515625,8015.77978515625,0,0,0
2022-05-18,7868.47998046875,7868.47998046875,7868.47998046875,7868.47998046875,0,0,0
2022-05-19,7848.0,7848.0,7848.0,7848.0,0,0,0
2022-05-20,7866.72021484375,7866.72021484375,7866.72021484375,7866.72021484375,0,0,0
2022-05-23,7982.27978515625,7982.27978515625,7982.27978515625,7982.27978515625,0,0,0
2022-05-24,7970.25,7970.25,7970.25,7970.25,0,0,0
2022-05-25,7998.509765625,7998.509765625,7998.509765625,7998.509765625,0,0,0
2022-05-27,8173.81982421875,8173.81982421875,8173.81982421875,8173.81982421875,0,0,0
2022-05-31,8160.75,8160.75,8160.75,8160.75,0,0,0
