Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-03-14,340.4700012207031,340.4700012207031,340.4700012207031,340.4700012207031,0,0,0
2022-03-15,346.6499938964844,346.6499938964844,346.6499938964844,346.6499938964844,0,0,0
2022-03-16,352.0,352.0,352.0,352.0,0,0,0
2022-03-17,356.32000732421875,356.32000732421875,356.32000732421875,356.32000732421875,0,0,0
2022-03-21,357.0199890136719,357.0199890136719,357.0199890136719,357.0199890136719,0,0,0
2022-03-22,359.6400146484375,359.6400146484375,359.6400146484375,359.6400146484375,0,0,0
2022-03-24,358.5799865722656,358.5799865722656,358.5799865722656,358.5799865722656,0,0,0
2022-03-25,360.1499938964844,360.1499938964844,360.1499938964844,360.1499938964844,0,0,0
2022-03-28,361.0899963378906,361.0899963378906,361.0899963378906,361.0899963378906,0,0,0
2022-03-29,364.57000732421875,364.57000732421875,364.57000732421875,364.57000732421875,0,0,0
2022-03-30,363.8800048828125,363.8800048828125,363.8800048828125,363.8800048828125,0,0,0
2022-03-31,358.19000244140625,358.19000244140625,358.19000244140625,358.19000244140625,0,0,0
2022-04-01,359.6199951171875,359.6199951171875,359.6199951171875,359.6199951171875,0,0,0
2022-04-04,360.6499938964844,360.6499938964844,360.6499938964844,360.6499938964844,0,0,0
2022-04-05,357.79998779296875,357.79998779296875,357.79998779296875,357.79998779296875,0,0,0
2022-04-06,356.2900085449219,356.2900085449219,356.2900085449219,356.2900085449219,0,0,0
2022-04-07,357.2300109863281,357.2300109863281,357.2300109863281,357.2300109863281,0,0,0
2022-04-08,358.6400146484375,358.6400146484375,358.6400146484375,358.6400146484375,0,0,0
2022-04-11,354.3299865722656,354.3299865722656,354.3299865722656,354.3299865722656,0,0,0
2022-04-12,353.4100036621094,353.4100036621094,353.4100036621094,353.4100036621094,0,0,0
2022-04-13,356.95001220703125,356.95001220703125,356.95001220703125,356.95001220703125,0,0,0
2022-04-14,355.760009765625,355.760009765625,355.760009765625,355.760009765625,0,0,0
2022-04-19,360.42999267578125,360.42999267578125,360.42999267578125,360.42999267578125,0,0,0
2022-04-20,362.989990234375,362.989990234375,362.989990234375,362.989990234375,0,0,0
2022-04-21,359.2200012207031,359.2200012207031,359.2200012207031,359.2200012207031,0,0,0
2022-04-22,349.1300048828125,349.1300048828125,349.1300048828125,349.1300048828125,0,0,0
2022-04-25,351.54998779296875,351.54998779296875,351.54998779296875,351.54998779296875,0,0,0
2022-04-26,343.17999267578125,343.17999267578125,343.17999267578125,343.17999267578125,0,0,0
2022-04-27,343.80999755859375,343.80999755859375,343.80999755859375,343.80999755859375,0,0,0
2022-04-28,350.1400146484375,350.1400146484375,350.1400146484375,350.1400146484375,0,0,0
2022-04-29,340.42999267578125,340.42999267578125,340.42999267578125,340.42999267578125,0,0,0
2022-05-02,341.2699890136719,341.2699890136719,341.2699890136719,341.2699890136719,0,0,0
2022-05-03,341.95001220703125,341.95001220703125,341.95001220703125,341.95001220703125,0,0,0
2022-05-04,351.55999755859375,351.55999755859375,351.55999755859375,351.55999755859375,0,0,0
2022-05-05,340.6199951171875,340.6199951171875,340.6199951171875,340.6199951171875,0,0,0
2022-05-06,339.6000061035156,339.6000061035156,339.6000061035156,339.6000061035156,0,0,0
2022-05-10,332.010009765625,332.010009765625,332.010009765625,332.010009765625,0,0,0
2022-05-11,328.6300048828125,328.6300048828125,328.6300048828125,328.6300048828125,0,0,0
2022-05-12,327.6099853515625,327.6099853515625,327.6099853515625,327.6099853515625,0,0,0
2022-05-13,332.4200134277344,332.4200134277344,332.4200134277344,332.4200134277344,0,0,0
2022-05-16,332.75,332.75,332.75,332.75,0,0,0
2022-05-17,337.19000244140625,337.19000244140625,337.19000244140625,337.19000244140625,0,0,0
2022-05-18,325.260009765625,325.260009765625,325.260009765625,325.260009765625,0,0,0
2022-05-19,322.8900146484375,322.8900146484375,322.8900146484375,322.8900146484375,0,0,0
2022-05-20,322.9700012207031,322.9700012207031,322.9700012207031,322.9700012207031,0,0,0
2022-05-23,329.3800048828125,329.3800048828125,329.3800048828125,329.3800048828125,0,0,0
2022-05-24,329.8699951171875,329.8699951171875,329.8699951171875,329.8699951171875,0,0,0
2022-05-25,331.8299865722656,331.8299865722656,331.8299865722656,331.8299865722656,0,0,0
2022-05-27,343.1300048828125,343.1300048828125,343.1300048828125,343.1300048828125,0,0,0
2022-05-31,340.8800048828125,340.8800048828125,340.8800048828125,340.8800048828125,0,0,0
2022-06-01,339.1300048828125,339.1300048828125,339.1300048828125,339.1300048828125,0,0,0
2022-06-02,343.6099853515625,343.6099853515625,343.6099853515625,343.6099853515625,0,0,0
2022-06-03,340.0799865722656,340.0799865722656,340.0799865722656,340.0799865722656,0,0,0
2022-06-07,342.92999267578125,342.92999267578125,342.92999267578125,342.92999267578125,0,0,0
2022-06-08,340.1300048828125,340.1300048828125,340.1300048828125,340.1300048828125,0,0,0
2022-06-09,333.57000732421875,333.57000732421875,333.57000732421875,333.57000732421875,0,0,0
2022-06-10,324.4700012207031,324.4700012207031,324.4700012207031,324.4700012207031,0,0,0
2022-06-13,315.3800048828125,315.3800048828125,315.3800048828125,315.3800048828125,0,0,0
2022-06-14,313.8599853515625,313.8599853515625,313.8599853515625,313.8599853515625,0,0,0
2022-06-15,316.989990234375,316.989990234375,316.989990234375,316.989990234375,0,0,0
2022-06-16,309.3900146484375,309.3900146484375,309.3900146484375,309.3900146484375,0,0,0
2022-06-17,308.989990234375,308.989990234375,308.989990234375,308.989990234375,0,0,0
2022-06-21,315.57000732421875,315.57000732421875,315.57000732421875,315.57000732421875,0,0,0
2022-06-22,315.0799865722656,315.0799865722656,315.0799865722656,315.0799865722656,0,0,0
2022-06-24,325.57000732421875,325.57000732421875,325.57000732421875,325.57000732421875,0,0,0
2022-06-27,324.8900146484375,324.8900146484375,324.8900146484375,324.8900146484375,0,0,0
2022-06-28,319.80999755859375,319.80999755859375,319.80999755859375,319.80999755859375,0,0,0
2022-06-29,320.6499938964844,320.6499938964844,320.6499938964844,320.6499938964844,0,0,0
2022-06-30,318.0400085449219,318.0400085449219,318.0400085449219,318.0400085449219,0,0,0
2022-07-01,321.3500061035156,321.3500061035156,321.3500061035156,321.3500061035156,0,0,0
2022-07-05,320.0299987792969,320.0299987792969,320.0299987792969,320.0299987792969,0,0,0
2022-07-06,320.739990234375,320.739990234375,320.739990234375,320.739990234375,0,0,0
2022-07-07,324.3500061035156,324.3500061035156,324.3500061035156,324.3500061035156,0,0,0
2022-07-08,323.8599853515625,323.8599853515625,323.8599853515625,323.8599853515625,0,0,0
2022-07-11,322.1300048828125,322.1300048828125,322.1300048828125,322.1300048828125,0,0,0
2022-07-12,320.1300048828125,320.1300048828125,320.1300048828125,320.1300048828125,0,0,0
2022-07-13,317.9599914550781,317.9599914550781,317.9599914550781,317.9599914550781,0,0,0
2022-07-14,316.4800109863281,316.4800109863281,316.4800109863281,316.4800109863281,0,0,0
2022-07-15,323.2699890136719,323.2699890136719,323.2699890136719,323.2699890136719,0,0,0
2022-07-18,321.010009765625,321.010009765625,321.010009765625,321.010009765625,0,0,0
2022-07-19,328.8500061035156,328.8500061035156,328.8500061035156,328.8500061035156,0,0,0
2022-07-20,329.3299865722656,329.3299865722656,329.3299865722656,329.3299865722656,0,0,0
2022-07-21,331.0400085449219,331.0400085449219,331.0400085449219,331.0400085449219,0,0,0
2022-07-22,329.6000061035156,329.6000061035156,329.6000061035156,329.6000061035156,0,0,0
2022-07-25,330.510009765625,330.510009765625,330.510009765625,330.510009765625,0,0,0
2022-07-26,328.1400146484375,328.1400146484375,328.1400146484375,328.1400146484375,0,0,0
2022-07-27,332.6300048828125,332.6300048828125,332.6300048828125,332.6300048828125,0,0,0
2022-07-28,336.04998779296875,336.04998779296875,336.04998779296875,336.04998779296875,0,0,0
2022-07-29,339.29998779296875,339.29998779296875,339.29998779296875,339.29998779296875,0,0,0
2022-08-01,338.7799987792969,338.7799987792969,338.7799987792969,338.7799987792969,0,0,0
2022-08-02,334.6099853515625,334.6099853515625,334.6099853515625,334.6099853515625,0,0,0
2022-08-03,338.8999938964844,338.8999938964844,338.8999938964844,338.8999938964844,0,0,0
2022-08-04,338.0199890136719,338.0199890136719,338.0199890136719,338.0199890136719,0,0,0
2022-08-05,338.80999755859375,338.80999755859375,338.80999755859375,338.80999755859375,0,0,0
2022-08-08,339.0799865722656,339.0799865722656,339.0799865722656,339.0799865722656,0,0,0
2022-08-09,338.5400085449219,338.5400085449219,338.5400085449219,338.5400085449219,0,0,0
2022-08-10,344.05999755859375,344.05999755859375,344.05999755859375,344.05999755859375,0,0,0
2022-08-11,344.4200134277344,344.4200134277344,344.4200134277344,344.4200134277344,0,0,0
2022-08-12,348.7900085449219,348.7900085449219,348.7900085449219,348.7900085449219,0,0,0
2022-08-16,352.7799987792969,352.7799987792969,352.7799987792969,352.7799987792969,0,0,0
2022-08-17,351.1199951171875,351.1199951171875,351.1199951171875,351.1199951171875,0,0,0
2022-08-18,351.3900146484375,351.3900146484375,351.3900146484375,351.3900146484375,0,0,0
2022-08-19,348.42999267578125,348.42999267578125,348.42999267578125,348.42999267578125,0,0,0
2022-08-22,341.80999755859375,341.80999755859375,341.80999755859375,341.80999755859375,0,0,0
2022-08-23,340.20001220703125,340.20001220703125,340.20001220703125,340.20001220703125,0,0,0
2022-08-24,340.80999755859375,340.80999755859375,340.80999755859375,340.80999755859375,0,0,0
2022-08-25,344.1300048828125,344.1300048828125,344.1300048828125,344.1300048828125,0,0,0
2022-08-26,333.70001220703125,333.70001220703125,333.70001220703125,333.70001220703125,0,0,0
2022-08-29,331.760009765625,331.760009765625,331.760009765625,331.760009765625,0,0,0
2022-08-30,328.6000061035156,328.6000061035156,328.6000061035156,328.6000061035156,0,0,0
2022-08-31,325.9700012207031,325.9700012207031,325.9700012207031,325.9700012207031,0,0,0
2022-09-01,327.4599914550781,327.4599914550781,327.4599914550781,327.4599914550781,0,0,0
2022-09-02,323.9700012207031,323.9700012207031,323.9700012207031,323.9700012207031,0,0,0
2022-09-06,322.1400146484375,322.1400146484375,322.1400146484375,322.1400146484375,0,0,0
2022-09-07,326.6400146484375,326.6400146484375,326.6400146484375,326.6400146484375,0,0,0
2022-09-08,328.6700134277344,328.6700134277344,328.6700134277344,328.6700134277344,0,0,0
2022-09-09,332.6300048828125,332.6300048828125,332.6300048828125,332.6300048828125,0,0,0
2022-09-12,334.9700012207031,334.9700012207031,334.9700012207031,334.9700012207031,0,0,0
2022-09-13,321.7699890136719,321.7699890136719,321.7699890136719,321.7699890136719,0,0,0
2022-09-14,322.1000061035156,322.1000061035156,322.1000061035156,322.1000061035156,0,0,0
2022-09-15,320.32000732421875,320.32000732421875,320.32000732421875,320.32000732421875,0,0,0
