Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-03-14,1024.0699462890625,1024.0699462890625,1024.0699462890625,1024.0699462890625,0,0,0
2022-03-15,1026.9100341796875,1026.9100341796875,1026.9100341796875,1026.9100341796875,0,0,0
2022-03-16,1026.510009765625,1026.510009765625,1026.510009765625,1026.510009765625,0,0,0
2022-03-17,1027.469970703125,1027.469970703125,1027.469970703125,1027.469970703125,0,0,0
2022-03-18,1028.3499755859375,1028.3499755859375,1028.3499755859375,1028.3499755859375,0,0,0
2022-03-21,1022.9600219726562,1022.9600219726562,1022.9600219726562,1022.9600219726562,0,0,0
2022-03-22,1021.4500122070312,1021.4500122070312,1021.4500122070312,1021.4500122070312,0,0,0
2022-03-23,1023.6400146484375,1023.6400146484375,1023.6400146484375,1023.6400146484375,0,0,0
2022-03-24,1020.3599853515625,1020.3599853515625,1020.3599853515625,1020.3599853515625,0,0,0
2022-03-25,1019.0499877929688,1019.0499877929688,1019.0499877929688,1019.0499877929688,0,0,0
2022-03-28,1020.1099853515625,1020.1099853515625,1020.1099853515625,1020.1099853515625,0,0,0
2022-03-29,1017.3800048828125,1017.3800048828125,1017.3800048828125,1017.3800048828125,0,0,0
2022-03-30,1015.1199951171875,1015.1199951171875,1015.1199951171875,1015.1199951171875,0,0,0
2022-03-31,1020.9099731445312,1020.9099731445312,1020.9099731445312,1020.9099731445312,0,0,0
2022-04-01,1019.77001953125,1019.77001953125,1019.77001953125,1019.77001953125,0,0,0
2022-04-04,1021.4400024414062,1021.4400024414062,1021.4400024414062,1021.4400024414062,0,0,0
2022-04-05,1011.4000244140625,1011.4000244140625,1011.4000244140625,1011.4000244140625,0,0,0
2022-04-06,1007.8499755859375,1007.8499755859375,1007.8499755859375,1007.8499755859375,0,0,0
2022-04-07,1004.969970703125,1004.969970703125,1004.969970703125,1004.969970703125,0,0,0
2022-04-08,1002.9600219726562,1002.9600219726562,1002.9600219726562,1002.9600219726562,0,0,0
2022-04-11,997.22998046875,997.22998046875,997.22998046875,997.22998046875,0,0,0
2022-04-12,997.2999877929688,997.2999877929688,997.2999877929688,997.2999877929688,0,0,0
2022-04-13,998.5,998.5,998.5,998.5,0,0,0
2022-04-19,989.7100219726562,989.7100219726562,989.7100219726562,989.7100219726562,0,0,0
