Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-03-14,190.9499969482422,190.9499969482422,190.9499969482422,190.9499969482422,0,0,0
2022-03-15,191.25999450683594,191.25999450683594,191.25999450683594,191.25999450683594,0,0,0
2022-03-16,191.42999267578125,191.42999267578125,191.42999267578125,191.42999267578125,0,0,0
2022-03-17,191.89999389648438,191.89999389648438,191.89999389648438,191.89999389648438,0,0,0
2022-03-18,192.11000061035156,192.11000061035156,192.11000061035156,192.11000061035156,0,0,0
2022-03-21,191.85000610351562,191.85000610351562,191.85000610351562,191.85000610351562,0,0,0
2022-03-22,191.58999633789062,191.58999633789062,191.58999633789062,191.58999633789062,0,0,0
2022-03-23,191.8800048828125,191.8800048828125,191.8800048828125,191.8800048828125,0,0,0
2022-03-24,191.3800048828125,191.3800048828125,191.3800048828125,191.3800048828125,0,0,0
2022-03-25,191.19000244140625,191.19000244140625,191.19000244140625,191.19000244140625,0,0,0
2022-03-28,191.55999755859375,191.55999755859375,191.55999755859375,191.55999755859375,0,0,0
2022-03-29,191.80999755859375,191.80999755859375,191.80999755859375,191.80999755859375,0,0,0
2022-03-30,191.7100067138672,191.7100067138672,191.7100067138672,191.7100067138672,0,0,0
2022-03-31,192.38999938964844,192.38999938964844,192.38999938964844,192.38999938964844,0,0,0
2022-04-01,192.6199951171875,192.6199951171875,192.6199951171875,192.6199951171875,0,0,0
2022-04-04,193.0,193.0,193.0,193.0,0,0,0
2022-04-05,192.08999633789062,192.08999633789062,192.08999633789062,192.08999633789062,0,0,0
2022-04-06,191.55999755859375,191.55999755859375,191.55999755859375,191.55999755859375,0,0,0
2022-04-07,191.02000427246094,191.02000427246094,191.02000427246094,191.02000427246094,0,0,0
2022-04-08,190.69000244140625,190.69000244140625,190.69000244140625,190.69000244140625,0,0,0
2022-04-11,189.6300048828125,189.6300048828125,189.6300048828125,189.6300048828125,0,0,0
2022-04-12,189.4600067138672,189.4600067138672,189.4600067138672,189.4600067138672,0,0,0
2022-04-13,189.3800048828125,189.3800048828125,189.3800048828125,189.3800048828125,0,0,0
2022-04-19,188.72000122070312,188.72000122070312,188.72000122070312,188.72000122070312,0,0,0
2022-04-20,188.97000122070312,188.97000122070312,188.97000122070312,188.97000122070312,0,0,0
2022-04-21,188.1999969482422,188.1999969482422,188.1999969482422,188.1999969482422,0,0,0
2022-04-22,187.5,187.5,187.5,187.5,0,0,0
2022-04-25,187.75999450683594,187.75999450683594,187.75999450683594,187.75999450683594,0,0,0
2022-04-26,187.35000610351562,187.35000610351562,187.35000610351562,187.35000610351562,0,0,0
2022-04-27,186.94000244140625,186.94000244140625,186.94000244140625,186.94000244140625,0,0,0
2022-04-28,186.35000610351562,186.35000610351562,186.35000610351562,186.35000610351562,0,0,0
2022-04-29,185.94000244140625,185.94000244140625,185.94000244140625,185.94000244140625,0,0,0
2022-05-03,185.66000366210938,185.66000366210938,185.66000366210938,185.66000366210938,0,0,0
2022-05-04,185.11000061035156,185.11000061035156,185.11000061035156,185.11000061035156,0,0,0
2022-05-05,184.5500030517578,184.5500030517578,184.5500030517578,184.5500030517578,0,0,0
2022-05-06,183.0399932861328,183.0399932861328,183.0399932861328,183.0399932861328,0,0,0
2022-05-10,182.8699951171875,182.8699951171875,182.8699951171875,182.8699951171875,0,0,0
2022-05-11,183.49000549316406,183.49000549316406,183.49000549316406,183.49000549316406,0,0,0
2022-05-12,184.3800048828125,184.3800048828125,184.3800048828125,184.3800048828125,0,0,0
2022-05-13,184.22000122070312,184.22000122070312,184.22000122070312,184.22000122070312,0,0,0
2022-05-16,184.2899932861328,184.2899932861328,184.2899932861328,184.2899932861328,0,0,0
2022-05-17,183.9199981689453,183.9199981689453,183.9199981689453,183.9199981689453,0,0,0
2022-05-18,183.63999938964844,183.63999938964844,183.63999938964844,183.63999938964844,0,0,0
2022-05-19,183.44000244140625,183.44000244140625,183.44000244140625,183.44000244140625,0,0,0
2022-05-20,183.63999938964844,183.63999938964844,183.63999938964844,183.63999938964844,0,0,0
2022-05-23,183.1999969482422,183.1999969482422,183.1999969482422,183.1999969482422,0,0,0
2022-05-24,183.27999877929688,183.27999877929688,183.27999877929688,183.27999877929688,0,0,0
2022-05-25,183.44000244140625,183.44000244140625,183.44000244140625,183.44000244140625,0,0,0
2022-05-27,184.07000732421875,184.07000732421875,184.07000732421875,184.07000732421875,0,0,0
2022-05-30,183.61000061035156,183.61000061035156,183.61000061035156,183.61000061035156,0,0,0
2022-05-31,182.80999755859375,182.80999755859375,182.80999755859375,182.80999755859375,0,0,0
2022-06-01,182.25999450683594,182.25999450683594,182.25999450683594,182.25999450683594,0,0,0
2022-06-07,181.1300048828125,181.1300048828125,181.1300048828125,181.1300048828125,0,0,0
2022-06-08,180.4600067138672,180.4600067138672,180.4600067138672,180.4600067138672,0,0,0
2022-06-09,179.08999633789062,179.08999633789062,179.08999633789062,179.08999633789062,0,0,0
2022-06-10,177.1300048828125,177.1300048828125,177.1300048828125,177.1300048828125,0,0,0
2022-06-13,174.05999755859375,174.05999755859375,174.05999755859375,174.05999755859375,0,0,0
2022-06-14,172.25,172.25,172.25,172.25,0,0,0
2022-06-15,173.39999389648438,173.39999389648438,173.39999389648438,173.39999389648438,0,0,0
2022-06-16,172.10000610351562,172.10000610351562,172.10000610351562,172.10000610351562,0,0,0
2022-06-17,172.5800018310547,172.5800018310547,172.5800018310547,172.5800018310547,0,0,0
2022-06-20,172.0399932861328,172.0399932861328,172.0399932861328,172.0399932861328,0,0,0
2022-06-21,172.19000244140625,172.19000244140625,172.19000244140625,172.19000244140625,0,0,0
2022-06-22,173.0500030517578,173.0500030517578,173.0500030517578,173.0500030517578,0,0,0
2022-06-24,174.58999633789062,174.58999633789062,174.58999633789062,174.58999633789062,0,0,0
2022-06-27,173.77999877929688,173.77999877929688,173.77999877929688,173.77999877929688,0,0,0
2022-06-28,172.8800048828125,172.8800048828125,172.8800048828125,172.8800048828125,0,0,0
2022-06-29,173.0,173.0,173.0,173.0,0,0,0
2022-06-30,173.8000030517578,173.8000030517578,173.8000030517578,173.8000030517578,0,0,0
2022-07-01,174.89999389648438,174.89999389648438,174.89999389648438,174.89999389648438,0,0,0
2022-07-04,174.30999755859375,174.30999755859375,174.30999755859375,174.30999755859375,0,0,0
2022-07-05,175.55999755859375,175.55999755859375,175.55999755859375,175.55999755859375,0,0,0
2022-07-06,175.89999389648438,175.89999389648438,175.89999389648438,175.89999389648438,0,0,0
2022-07-07,175.52999877929688,175.52999877929688,175.52999877929688,175.52999877929688,0,0,0
2022-07-08,176.13999938964844,176.13999938964844,176.13999938964844,176.13999938964844,0,0,0
2022-07-11,177.11000061035156,177.11000061035156,177.11000061035156,177.11000061035156,0,0,0
2022-07-12,177.9199981689453,177.9199981689453,177.9199981689453,177.9199981689453,0,0,0
2022-07-13,177.4600067138672,177.4600067138672,177.4600067138672,177.4600067138672,0,0,0
2022-07-14,176.88999938964844,176.88999938964844,176.88999938964844,176.88999938964844,0,0,0
2022-07-15,177.30999755859375,177.30999755859375,177.30999755859375,177.30999755859375,0,0,0
