Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-03-14,20.49346923828125,20.49346923828125,20.49346923828125,20.49346923828125,0,0,0
2022-03-15,20.47464942932129,20.47464942932129,20.47464942932129,20.47464942932129,0,0,0
2022-03-16,20.659549713134766,20.659549713134766,20.659549713134766,20.659549713134766,0,0,0
2022-03-17,20.905879974365234,20.905879974365234,20.905879974365234,20.905879974365234,0,0,0
2022-03-18,20.999990463256836,20.999990463256836,20.999990463256836,20.999990463256836,0,0,0
2022-03-21,20.93869972229004,20.93869972229004,20.93869972229004,20.93869972229004,0,0,0
2022-03-22,21.171009063720703,21.171009063720703,21.171009063720703,21.171009063720703,0,0,0
2022-03-24,21.494400024414062,21.494400024414062,21.494400024414062,21.494400024414062,0,0,0
2022-03-25,21.490270614624023,21.490270614624023,21.490270614624023,21.490270614624023,0,0,0
2022-03-28,21.458820343017578,21.458820343017578,21.458820343017578,21.458820343017578,0,0,0
2022-03-29,21.39933967590332,21.39933967590332,21.39933967590332,21.39933967590332,0,0,0
2022-03-30,21.397260665893555,21.397260665893555,21.397260665893555,21.397260665893555,0,0,0
2022-03-31,21.254640579223633,21.254640579223633,21.254640579223633,21.254640579223633,0,0,0
2022-04-01,21.31998062133789,21.31998062133789,21.31998062133789,21.31998062133789,0,0,0
2022-04-04,21.376380920410156,21.376380920410156,21.376380920410156,21.376380920410156,0,0,0
2022-04-05,21.375329971313477,21.375329971313477,21.375329971313477,21.375329971313477,0,0,0
2022-04-06,21.118099212646484,21.118099212646484,21.118099212646484,21.118099212646484,0,0,0
2022-04-07,20.79779052734375,20.79779052734375,20.79779052734375,20.79779052734375,0,0,0
2022-04-08,20.866220474243164,20.866220474243164,20.866220474243164,20.866220474243164,0,0,0
2022-04-11,20.61241912841797,20.61241912841797,20.61241912841797,20.61241912841797,0,0,0
2022-04-12,20.496540069580078,20.496540069580078,20.496540069580078,20.496540069580078,0,0,0
2022-04-13,20.693479537963867,20.693479537963867,20.693479537963867,20.693479537963867,0,0,0
